year,startdate,enddate,exact_duration,continent,country,region,label,combine_with_previous,enjoyment,transport,with_ralph,with_father,with_mother,with_inlaws,with_other,type,notes
1987,,,,,,,,,,,,,,,,,
1988,13/07/88,28/07/88,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,unknown,car,n,y,y,n,,sun,
1989,22/07/89,05/08/89,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,unknown,car,n,y,y,n,,sun,
1990,21/07/90,04/08/90,unknown,france,France,Bretagne,France,n,unknown,car,n,y,y,n,,sun,
1990,22/12/90,29/12/90,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,unknown,car,n,y,y,n,grandma,christmas,
1991,20/07/91,10/08/91,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,unknown,car,n,y,y,n,,sun,
1992,18/07/92,08/08/92,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,unknown,car,n,y,y,n,,sun,
1993,24/07/93,14/08/93,unknown,france,France,Limoges,France,n,7.5,car,n,y,y,n,,sun,
1994,23/07/94,20/08/94,unknown,france,France,Vendee,France,n,unknown,car,n,y,y,n,,sun,
1995,29/07/95,25/08/95,unknown,france,France,Gap,France,n,7.5,car,n,y,y,n,,sun,
1996,27/07/96,17/08/96,unknown,france,France,Marseille,France,n,8,car,n,y,y,n,,sun,
1997,12/07/97,16/08/97,exact,carribean,Curacao,,Curacao,n,9,plane,n,y,y,n,,sun,
1998,12/05/98,16/05/98,exact,france,France,Disneyland,Disneyland,n,10,car,n,y,y,n,,disney,
1998,18/07/98,15/08/98,unknown,france,France,L'Herault,France,n,9,car,n,y,y,n,,sun,english girlfriend
1999,24/07/99,14/08/99,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,7,car,n,y,y,n,,sun,solar eclipse
2000,22/07/00,12/08/00,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,8,car,n,y,y,n,,sun,
2001,28/04/01,05/05/01,exact,turkey,Turkey,Belek,Turkey,n,7,plane,n,y,y,n,,sun,
2001,22/07/01,27/07/01,exact,france,France,Paris,,n,10,car,n,y,n,n,,culture,
2001,28/07/01,09/08/01,exact,france,France,Vendee,Paris & France,e,10,car,n,y,n,n,,sun,
2002,01/05/02,04/05/02,exact,europe,United Kingdom,London,London,n,8,boat,n,y,n,n,,culture,
2002,20/07/02,03/08/02,unknown,france,France,Vendee,France,n,7,car,n,y,n,n,friend,sun,
2003,09/07/03,27/07/03,exact,europe,Italy,,Venice - Florence - Rome,n,9,car,n,y,n,n,,culture,
2004,02/05/04,06/05/04,exact,netherlands,Netherlands,Gelderland,Netherlands,n,8,car,y,n,n,n,,sun,first time alone with boyfriend
2004,18/07/04,21/07/04,exact,france,France,Paris,,n,8,car,y,n,n,y,,culture,
2004,22/07/04,02/08/04,exact,france,France,Nievre,Paris & France,e,8,car,y,n,n,y,,sun,
2004,14/08/04,16/08/04,unknown,netherlands,Netherlands,Zeeland,Netherlands,n,7,car,y,y,n,n,,sun,
2004,09/09/04,14/09/04,exact,europe,Italy,Rome,Rome,n,7,bus,y,n,n,n,highschool,culture,
2005,01/01/05,06/01/05,exact,europe,Austria,Gaschurn,Austria,n,5,car,y,n,y,n,,snow,
2005,12/02/05,18/02/05,exact,europe,Switzerland,Ovronnaz,Switzerland,n,5,car,y,n,n,y,,snow,
2005,26/08/05,28/08/05,unknown,netherlands,Netherlands,Noordwijk,Netherlands,n,6,car,y,n,n,n,,sun,
2006,10/07/06,04/08/06,exact,usa,USA,California,California,n,9,plane,n,y,n,n,,nature,
2006,07/08/06,11/08/06,unknown,france,France,,France,n,6,car,y,n,n,n,,sun,got sick
2006,30/09/06,06/10/06,exact,africa,Tunesia,North,Tunesia,n,5,plane,n,n,y,n,,sun,
2007,22/04/07,05/05/07,exact,usa,USA,Florida,Florida,n,8,plane,y,n,n,y,,culture,
2007,10/07/07,13/07/07,exact,europe,Germany,Berlin,,f,7,car,y,y,n,n,,culture,
2007,14/07/07,19/07/07,exact,europe,Czech Republic,Prague,,l,7,car,y,y,n,n,,culture,
2007,20/07/07,03/08/07,exact,europe,Austria,Villach am See,Berlin - Prague - Austria,e,7,car,y,y,n,n,,sun,
